-1.5_-27.5_0.5,-1.5_-25.5_0.5,-1.5_-23.5_0.5,-1.5_-21.5_0.5,-1.5_-19.5_0.5,-1.5_-17.5_0.5,-1.5_-15.5_0.5,-1.5_-13.5_0.5,-1.5_-11.5_0.5,-1.5_-9.5_0.5,-1.5_-7.5_0.5,-1.5_-5.5_0.5,-1.5_-3.5_0.5,-1.5_-1.5_0.5,-1.5_0.5_0.5,-1.5_2.5_0.5,-1.5_4.5_0.5,-1.5_6.5_0.5,-1.5_8.5_0.5,-1.5_10.5_0.5,-1.5_12.5_0.5,-1.5_14.5_0.5,-1.5_16.5_0.5,-1.5_18.5_0.5,-1.5_20.5_0.5,-1.5_22.5_0.5,-1.5_24.5_0.5,-1.5_26.5_0.5,0.5_-27.5_0.5,0.5_-25.5_0.5,0.5_-23.5_0.5,0.5_-21.5_0.5,0.5_-19.5_0.5,0.5_-17.5_0.5,0.5_-15.5_0.5,0.5_-13.5_0.5,0.5_-11.5_0.5,0.5_-9.5_0.5,0.5_-7.5_0.5,0.5_-5.5_0.5,0.5_-3.5_0.5,0.5_-1.5_0.5,0.5_0.5_0.5,0.5_2.5_0.5,0.5_4.5_0.5,0.5_6.5_0.5,0.5_8.5_0.5,0.5_10.5_0.5,0.5_12.5_0.5,0.5_14.5_0.5,0.5_16.5_0.5,0.5_18.5_0.5,0.5_20.5_0.5,0.5_22.5_0.5,0.5_24.5_0.5,0.5_26.5_0.5,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8446887E-7,3.2976752E-6,2.427584E-5,7.3590585E-5,9.1865375E-5,4.722403E-5,9.996682E-6,8.714255E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4159012E-7,6.106468E-6,4.4952772E-5,1.3627132E-4,1.7011166E-4,8.744707E-5,1.851135E-5,1.6136618E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5686284E-7,6.3830635E-6,3.672435E-5,8.7008295E-5,8.488849E-5,3.410504E-5,5.6424783E-6,3.8441726E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2738825E-7,1.1559862E-5,6.650857E-5,1.5757386E-4,1.5373484E-4,6.176494E-5,1.0218648E-5,6.961878E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0581039E-6,1.15539415E-5,5.195336E-5,9.620081E-5,7.335428E-5,2.3033172E-5,2.9782673E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8714935E-6,2.0435733E-5,9.1891154E-5,1.7015268E-4,1.2974346E-4,4.073932E-5,5.2677324E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2927545E-6,1.9566718E-5,6.8763824E-5,9.9513876E-5,5.930467E-5,1.4553779E-5,1.4707682E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.953244E-6,3.3737586E-5,1.1856487E-4,1.7158514E-4,1.0225509E-4,2.509411E-5,2.5359475E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8645562E-7,4.6397518E-6,3.0946656E-5,8.49991E-5,9.613831E-5,4.4777546E-5,8.58827E-6,6.78317E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.814807E-7,7.798593E-6,5.20158E-5,1.4286829E-4,1.6159132E-4,7.526306E-5,1.4435348E-5,1.1401297E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938046E-7,8.782802E-6,4.5783672E-5,9.8281045E-5,8.687814E-5,3.1625168E-5,4.7406384E-6,2.926324E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1349887E-6,1.4367707E-5,7.48971E-5,1.6077708E-4,1.4212317E-4,5.1735333E-5,7.755168E-6,4.787147E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570818E-6,1.5541049E-5,6.331643E-5,1.06226806E-4,7.338941E-5,2.0879223E-5,2.4461146E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.498754E-6,2.472168E-5,1.0071961E-4,1.6897861E-4,1.1674305E-4,3.321329E-5,3.8911185E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3241051E-6,2.5703233E-5,8.1843165E-5,1.07314554E-4,5.7945068E-5,1.2884155E-5,1.1797147E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1378956E-6,3.9728147E-5,1.265007E-4,1.658705E-4,8.9562665E-5,1.9914365E-5,1.8234233E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4796408E-7,6.5740523E-6,3.9728737E-5,9.88685E-5,1.0131943E-4,4.2757187E-5,7.430313E-6,5.3172454E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7235266E-7,9.867044E-6,5.9629157E-5,1.4839246E-4,1.5207108E-4,6.417458E-5,1.1152212E-5,7.980693E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0592545E-6,1.2149232E-5,5.7382433E-5,1.1160681E-4,8.938899E-5,2.9482138E-5,4.0041978E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5430865E-6,1.7698594E-5,8.359281E-5,1.6258506E-4,1.3021889E-4,4.294859E-5,5.833181E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3402429E-6,2.0978188E-5,7.743845E-5,1.1771368E-4,7.3684954E-5,1.899382E-5,2.0161713E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3078263E-6,2.9651712E-5,1.09455716E-4,1.6638292E-4,1.0415032E-4,2.6846898E-5,2.849766E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8391352E-7,4.8302554E-6,3.3840417E-5,9.762992E-5,1.15987656E-4,5.6744295E-5,1.143179E-5,9.48392E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8929545E-7,6.623131E-6,4.6401175E-5,1.3386783E-4,1.5903951E-4,7.780643E-5,1.5675E-5,1.3004126E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
