RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
24.0,46.0,34.998030429741824,128.0,5.5912835171096156E-5,0.049106970167955524,0.22031440599934315,0.3955050627115272,0.049106970167955524
25.0,48.00000000000001,35.36288594570028,112.0,5.0486956934356426E-5,0.047588089269694316,0.21686731291350214,0.3916988938668757,0.047588089269694316
26.0,50.0,35.76715869748244,112.0,4.508763172147642E-5,0.04595992054788802,0.21311076582283373,0.38752428847365294,0.04595992054788802
27.0,52.0,36.1386354352225,128.0,4.063690116366853E-5,0.04451299094994568,0.2097163563383512,0.3837275770244424,0.04451299094994568
28.0,54.0,36.510982229047784,112.0,3.661660066883588E-5,0.043108384296547564,0.20636825189260066,0.37995930130314387,0.043108384296547564
29.0,56.0,36.92118850347509,112.0,3.264639955179319E-5,0.041612216125733716,0.20274156613990105,0.37585070088792655,0.041612216125733716
30.0,58.00000000000001,37.29592159806631,128.0,2.939698437628623E-5,0.04029086317542961,0.199484237444032,0.3721362403823965,0.04029086317542961
31.0,59.99999999999999,37.66973452562386,128.0,2.6477811002995995E-5,0.039014559718226455,0.19628704886295978,0.3684674753311317,0.039014559718226455
32.0,62.0,38.01495071313926,112.0,2.4040088615848485E-5,0.037871831659191474,0.1933799764314819,0.36511150393900876,0.037871831659191474
33.0,64.0,38.37342801573345,112.0,2.1745967707088984E-5,0.036720617069917846,0.19040679047623987,0.36165896236939166,0.036720617069917846
34.0,66.0,38.67109456468187,128.0,2.0008305767602687E-5,0.035791329642602294,0.18797273333179604,0.358816920463316,0.035791329642602294
35.0,68.0,38.96046411304842,128.0,1.8452279832931304E-5,0.03491049333116041,0.18563635216957716,0.35607550635316815,0.03491049333116041
36.0,70.0,39.21314767011681,112.0,1.7192828669662008E-5,0.03415907663325043,0.18361993833047408,0.3536987816995703,0.03415907663325043
37.0,72.0,39.43344714216062,128.0,1.6165141691503357E-5,0.03351717135373487,0.18187982961374127,0.35163960794539617,0.03351717135373487
38.0,74.0,39.626553158615195,128.0,1.53149603869125E-5,0.03296443056297278,0.1803680855207842,0.3498444778435686,0.03296443056297278
39.0,76.0,39.76652941904878,112.0,1.472678176602777E-5,0.03256947392728155,0.17928013266366127,0.3485489781941977,0.03256947392728155
40.0,78.0,39.91094367727222,112.0,1.4143619976577543E-5,0.03216695393954308,0.17816456318775467,0.34721743195717186,0.03216695393954308
41.0,80.0,40.02354052776639,112.0,1.3705009112222856E-5,0.03185657183764511,0.1772995946633964,0.3461827827198308,0.03185657183764511
42.0,82.0,40.13197645002127,112.0,1.3295468894645175E-5,0.03156049094073603,0.17647056002597342,0.3451892825258133,0.03156049094073603
43.0,84.0,40.257331956612965,96.0,1.2837254415613718E-5,0.031221639380561744,0.17551699839300883,0.34404431621900455,0.031221639380561744
44.0,86.0,40.49679419875189,96.0,1.2005380450044611E-5,0.03058442293768693,0.17370974204056744,0.34186767308825916,0.03058442293768693
45.0,88.0,40.91105430790827,96.0,1.0691548930531894E-5,0.029512621294749714,0.17062709289655814,0.33813463527496324,0.029512621294749714
46.0,90.0,41.59949668225328,80.0,8.818412268062304E-6,0.027813869131261826,0.16562468340316439,0.3320207915569441,0.027813869131261826
47.0,92.0,42.784963245528395,80.0,6.329195278385647E-6,0.02511466044573086,0.15735203389244204,0.32175096782790885,0.02511466044573086
48.0,94.0,44.55858976212418,80.0,3.853375482683772E-6,0.02155744069719208,0.14574013169332803,0.30697596665804366,0.02155744069719208
49.0,96.00000000000001,47.03281111365011,80.0,1.928445332010903E-6,0.01742072532845611,0.13095886639229176,0.2874912491778969,0.01742072532845611
50.0,98.0,50.208697975541966,64.0,7.93078922005034E-7,0.013252394922294358,0.11416145921057767,0.2642824357091548,0.013252394922294358
51.0,100.0,54.029505935010114,64.0,2.7230986346605734E-7,0.00953682331590214,0.09678278928776014,0.2388298191174363,0.00953682331590214
52.0,102.0,58.21004464356461,64.0,8.454748821683352E-8,0.00665364902150326,0.08078377769734107,0.2137804986750633,0.00665364902150326
53.0,104.0,62.41885895109697,64.0,2.604368164910988E-8,0.0046308273370363464,0.06734717971117912,0.19121508596167003,0.0046308273370363464
54.0,106.0,66.30092499513366,48.0,8.790348368305731E-9,0.003314950326093011,0.05694402288854411,0.17251914033413668,0.003314950326093011
55.0,108.0,69.62979502029157,48.0,3.4635918774503764E-9,0.0024887650222703726,0.04931295898537524,0.1579501453354745,0.0024887650222703726
56.0,110.0,72.2440716902987,48.0,1.6667677232559843E-9,0.0019870790146333545,0.04404410583663548,0.1473764750688068,0.0019870790146333545
57.0,112.0,74.11547722932546,32.0,9.873863716245494E-10,0.0016913297372015952,0.04062179956423292,0.14024493465487964,0.0016913297372015952
58.0,114.00000000000001,75.42035777455531,32.0,6.853866633049018E-10,0.0015115702745412984,0.03839413679162226,0.13547752075978997,0.0015115702745412984
59.0,116.00000000000001,76.24636075017463,32.0,5.439649432283895E-10,0.0014077886882960181,0.03704757550603956,0.13254381279452654,0.0014077886882960181
60.0,118.00000000000001,76.7413160941563,32.0,4.736206352528697E-10,0.001349047135134357,0.03626342807993432,0.13081641157153875,0.001349047135134357
61.0,119.99999999999999,76.96841625400965,16.0,4.444638751643294E-10,0.0013229213605862496,0.035909214130946,0.1300313810461021,0.0013229213605862496
62.0,122.0,77.15615917180725,16.0,4.217202759170392E-10,0.001301705729574364,0.03561900059305642,0.12938595733536407,0.001301705729574364
63.0,124.0,77.27225381473362,16.0,4.0824251164768913E-10,0.001288757207888381,0.03544071598863121,0.1289884505178891,0.001288757207888381
64.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
