-1.5_-27.5_0.5,-1.5_-25.5_0.5,-1.5_-23.5_0.5,-1.5_-21.5_0.5,-1.5_-19.5_0.5,-1.5_-17.5_0.5,-1.5_-15.5_0.5,-1.5_-13.5_0.5,-1.5_-11.5_0.5,-1.5_-9.5_0.5,-1.5_-7.5_0.5,-1.5_-5.5_0.5,-1.5_-3.5_0.5,-1.5_-1.5_0.5,-1.5_0.5_0.5,-1.5_2.5_0.5,-1.5_4.5_0.5,-1.5_6.5_0.5,-1.5_8.5_0.5,-1.5_10.5_0.5,-1.5_12.5_0.5,-1.5_14.5_0.5,-1.5_16.5_0.5,-1.5_18.5_0.5,-1.5_20.5_0.5,-1.5_22.5_0.5,-1.5_24.5_0.5,-1.5_26.5_0.5,0.5_-27.5_0.5,0.5_-25.5_0.5,0.5_-23.5_0.5,0.5_-21.5_0.5,0.5_-19.5_0.5,0.5_-17.5_0.5,0.5_-15.5_0.5,0.5_-13.5_0.5,0.5_-11.5_0.5,0.5_-9.5_0.5,0.5_-7.5_0.5,0.5_-5.5_0.5,0.5_-3.5_0.5,0.5_-1.5_0.5,0.5_0.5_0.5,0.5_2.5_0.5,0.5_4.5_0.5,0.5_6.5_0.5,0.5_8.5_0.5,0.5_10.5_0.5,0.5_12.5_0.5,0.5_14.5_0.5,0.5_16.5_0.5,0.5_18.5_0.5,0.5_20.5_0.5,0.5_22.5_0.5,0.5_24.5_0.5,0.5_26.5_0.5,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00867588,0.15509517,1.1417334,3.4610884,4.3205824,2.2210252,0.47016066,0.0409846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016065555,0.2871974,2.1142042,6.409068,8.000636,4.112782,0.8706197,0.07589321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030162903,0.45530134,2.8689408,7.5532336,8.31303,3.8250422,0.73553586,0.05906439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054979008,0.83087707,5.2422132,13.82003,15.231043,7.0176907,1.3512198,0.10863609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079927295,0.9987025,5.312394,12.077719,11.763004,4.908331,0.87560874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14299847,1.7920038,9.564008,21.822596,21.333096,8.933729,1.59897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18775937,1.918958,8.546472,16.758022,14.552202,5.592819,0.9447814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32892615,3.3787389,15.140312,29.892532,26.142323,10.113947,1.7182399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013472487,0.40597466,3.374431,12.544122,21.27957,16.658165,5.99674,0.9766838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022644844,0.695707,5.825129,21.859648,37.492443,29.68207,10.792866,1.7718621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04610328,0.81904453,5.527714,17.166443,25.365593,18.14555,6.2197003,0.9904468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07602526,1.3714443,9.347665,29.421263,44.17673,32.11527,11.157604,1.7943769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119981475,1.5499661,8.505591,22.162468,28.81722,19.127535,6.334745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19354585,2.5341463,14.084677,37.36861,49.667355,33.677345,11.3406105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2763197,2.7588322,12.354813,27.209652,31.542473,19.733498,6.390229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43518966,4.4026275,20.034216,45.169777,53.879635,34.613953,11.426369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210685,0.5855084,4.6273413,17.004763,31.974873,33.553417,20.082958,6.415237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03162187,0.89925325,7.2070866,27.013363,52.321934,56.897873,35.13846,11.463903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070887014,1.1569071,7.326133,22.253819,36.178986,34.94001,20.271282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1041958,1.7316477,11.138596,34.66001,58.446346,58.917816,35.412804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
